name	city	state	founded	lat	long
51 North Brewing	Lake Orion	Michigan	2011	42.78	-83.27
612 Offnere Street LLC	Portsmouth	Ohio	2010	38.79	-82.92
734 Brewing Company Inc.	Ypsilanti	Michigan	2013	42.27	-83.6
7th Settlement Brewery, LLC	Dover	New Hampshire	2011	43.19	-70.89
902 Brewing Inc	Jersey City	New Jersey	2017	40.71	-74.07
Anheuser-Busch, LLC	Lisle	Illinois	1852	41.79	-88.08
Aberrant Brewing Company Inc	Howell	Michigan	2014	42.6	-83.9
Actual Brewing Company LLC	Columbus	Ohio	2015	40.01	-82.92
Advanced Brewing Sys LLC	Prospect Park	New Jersey	2011	40.95	-74.19
AEC Brews LLC DBA Old Firehouse B	Williamsburg	Ohio	2014	39.1	-84.0
Aero Alehouse	Loves Park	Illinois	2014	42.33	-88.99
Agonic Brewing Company LLC	Rice Lake	Wisconsin	2016	45.5	-91.7
Ahnapee Brewery	Algoma	Wisconsin	2017	44.6	-87.5
Alao, Temitope	Collinsville	Illinois	2015	38.7	-90.0
Alchemy Brewing LLC	Stowe	Vermont	2005	44.5	-72.7
Alchemy Canning, Ltd.	Stowe	Vermont	2011	44.5	-72.7
Ale Asylum, LLC	Madison	Wisconsin	2012	43.13	-89.35
Allagash Brewing Company	Portland	Maine	1994	43.69	-70.29
Allied Brand	Grand Rapids	Michigan	2007	42.88	-85.53
Alpha Beer Service, LLC	Columbus	Ohio	2001	40.08	-82.94
Alt Brew	Madison	Wisconsin	2015	43.13	-89.35
Alvarium Beer Company, LLC	New Britain	Connecticut	2016	41.69	-72.79
American Beer Beverage Ltd Inc	Upper Darby	Pennsylvania	2011	39.96	-75.27
Anheuser-Busch, LLC	New York	New York	1852	40.791	-73.966
American Craft Brewery LLC	Boston	Massachusetts	2013	42.35	-71.04
Anheuser-Busch, LLC	Williamsburg	Virginia	1852	37.2	-76.7
Amherst Brewing Co Inc	Amherst	Massachusetts	1997	42.38	-72.52
Ampere Brewing, LLC	Columbus	Ohio	2018	39.92	-82.88
Amtec International of Newyork	Brooklyn	New York	2011	40.71	-73.95
Anheuser-Busch, LLC	Houston	Texas	1852	29.76	-95.25
Anheuser-Busch, LLC	Jacksonville	Florida	1852	30.5	-81.7
Anheuser-Busch, LLC	Charlotte	North Carolina	1852	35.05	-80.81
Anheuser-Busch Inbev Finance Inc.	New York	New York	2014	40.791	-73.966
Anheuser-Busch Inbev Services, LLC	New York	New York	2017	40.791	-73.966
Anheuser-Busch, LLC	Houston	Texas	1852	29.76	-95.25
Anheuser-Busch, LLC	Washington	District of Columbia	1852	38.93	-76.97
Anheuser-Busch, LLC	Pomona	California	1852	34.05	-117.72
Anheuser-Busch, LLC	Van Nuys	California	1852	34.2	-118.49
Anheuser-Busch, LLC	Country Club Hills	Illinois	1852	41.56	-87.73
Anheuser-Busch, LLC	Saint Louis	Missouri	1852	38.59	-90.22
Millercoors LLC	Milwaukee	Wisconsin	1855	43.04	-87.97
Anheuser-Busch, LLC	Baldwinsville	New York	2016	43.2	-76.4
Ann Arbor Ales Inc	Lansing	Michigan	2016	42.73	-84.56
Another Brewing Company LLC	Pittsfield	Massachusetts	2018	42.5	-73.3
Appalachian Brewing Company, Inc.	Harrisburg	Pennsylvania	1995	40.26	-76.89
Apple Blossom Winery, LLC	Kalamazoo	Michigan	2012	42.3	-85.7
Apple Rush Company	Glenview	Illinois	2010	42.08	-87.82
Aquanaut Brewing Company	Chicago	Illinois	2012	41.97	-87.66
AR Tart, LLC	Philadelphia	Pennsylvania	2015	40.07	-75.21
Arclight Brewing Company	Watervliet	Michigan	2013	42.2	-86.2
Argus Brewery	Chicago	Illinois	2010	41.69	-87.62
Art Domain	New York	New York	2016	40.73	-73.99
Artful Dodger Brewing Co	Midland	Michigan	2008	43.6	-84.4
Ashleigh, Inc	Kennebunk	Maine	1987	43.4	-70.6
Aspetuck Brew Lab LLC	Fairfield	Connecticut	2014	41.17	-73.28
Atlas Distributing, Inc.	Auburn	Massachusetts	1933	42.2	-71.85
Atwater In The Park	Grosse Pointe Park	Michigan	2014	42.38	-82.92
Austin Brothers' Beer Company LLC	Alpena	Michigan	2015	45.1	-83.5
Avalon Brewhouse LLC	Cape May Court House	New Jersey	2016	39.1	-74.8
B & B Beverage	Milton	Pennsylvania	1975	41.0	-76.79
B & S Beverage L L C	Patton	Pennsylvania	2008	40.6	-78.6
Back Alley Brewery, LLC	Coopersburg	Pennsylvania	2018	40.5	-75.4
Backdraft Brewing Company	Wayne	Michigan	1997	42.28	-83.39
Bad Martha, LLC	Edgartown	Massachusetts	2012	41.39	-70.53
